id,price_doc
30474,3491989.170683649
30475,8546254.914814815
30476,6042271.969455966
30477,6403542.648765433
30478,5204986.521486427
30479,9916095.929298941
30480,4464103.460982845
30481,4324260.348365463
30482,4541368.039506174
30483,5366517.131687242
30484,6007069.087184213
30485,5187556.36335522
30486,4123820.708142269
30487,4502885.737301587
30488,7521414.058597882
30489,5556374.664796659
30490,22420758.56707819
30491,16575246.887037031
30492,6118327.671210028
30493,12863590.947530864
30494,7698068.2138227485
30495,10517582.511287479
30496,7979552.902138448
30497,8627058.607583774
30498,4759652.112283065
30499,6605822.754204632
30500,12619741.441435182
30501,7425733.481491806
30502,3458659.007473544
30503,4067729.717813051
30504,6330197.61677591
30505,10814762.786111109
30506,3086573.990961198
30507,5090017.083785687
30508,5638306.45853612
30509,5748346.026290577
30510,8917298.386640212
30511,6742007.987735607
30512,6105149.3363748295
30513,4528949.571212121
30514,3826572.7651234567
30515,9942434.621343194
30516,6062418.47241794
30517,11311921.13736686
30518,6845360.993509264
30519,4304169.477817782
30520,7162604.243419172
30521,6196889.260160353
30522,7760658.0747354515
30523,7363386.640135163
30524,10177911.181731334
30525,9028446.072725892
30526,5445889.645112849
30527,5201550.893977808
30528,6643344.615418695
30529,7079661.173645463
30530,6450325.603974332
30531,14364756.59197531
30532,3370079.28271605
30533,10189106.539976481
30534,7404949.850771604
30535,9110373.132297179
30536,5419100.89374397
30537,11388033.33886912
30538,5314948.329597062
30539,13328202.971296297
30540,9340112.018430335
30541,6371259.262672623
30542,2330458.2326719575
30543,5235669.544580322
30544,5921533.965580299
30545,8322095.967434408
30546,4004781.235714286
30547,10408622.588603273
30548,4516583.266507669
30549,5177665.241926016
30550,10851869.924309231
30551,5798902.6858615205
30552,2000654.8490299822
30553,7230386.867243867
30554,9908478.79563492
30555,6447253.201112456
30556,9290421.380643738
30557,6429184.245076425
30558,9215657.21829806
30559,7318315.5108755175
30560,6239773.902308105
30561,7969058.523006837
30562,13161034.077292768
30563,4974151.9026014125
30564,7574938.946714043
30565,7497876.591402119
30566,7166110.473985891
30567,2328560.2104938272
30568,11919166.697832547
30569,10314303.708377428
30570,6984957.805181204
30571,8655386.290388009
30572,5231204.864261504
30573,6224627.247390972
30574,6777234.976410934
30575,7295860.189452005
30576,4808331.372839508
30577,4623192.950631982
30578,3107423.0545414453
30579,7175116.244384623
30580,5279968.967324238
30581,5552471.684842445
30582,10169207.405908288
30583,7200180.0024691345
30584,4999668.647038356
30585,3751085.145546737
30586,9499408.128262786
30587,5315115.189682539
30588,7310790.707516783
30589,6316522.874163477
30590,11383289.082275132
30591,5398571.658628964
30592,6908438.585075932
30593,7667670.977050264
30594,6486904.080467371
30595,4950029.308653212
30596,6781603.199691357
30597,6394329.703460931
30598,9240141.934281306
30599,10011915.731843626
30600,5120676.312213403
30601,6668244.222976837
30602,2250972.8521164022
30603,12632560.644929457
30604,4741079.610694854
30605,6499565.595723515
30606,28043407.7345679
30607,7007639.523809523
30608,9252590.45361552
30609,5603727.84226134
30610,3354251.9656525576
30611,5627584.466560813
30612,8524390.992523678
30613,7515088.173765432
30614,17646291.394400354
30615,7693171.574481076
30616,5663801.941613531
30617,8396131.125815697
30618,5311632.018977066
30619,4716444.526234568
30620,2821248.7805996477
30621,9118207.958201058
30622,8284637.167887666
30623,6186009.061792906
30624,6532716.846912654
30625,8324844.6842305055
30626,6662146.082911443
30627,6640116.934651263
30628,6142843.95809056
30629,5453824.503507841
30630,5003705.160030864
30631,6595869.96842714
30632,4573570.422159599
30633,5968064.1494056
30634,12427546.649470901
30635,9425620.35361552
30636,5513777.621581195
30637,9690013.998302469
30638,6360333.572386879
30639,7157875.212595534
30640,4773244.34804794
30641,7931536.310141094
30642,6216409.817859435
30643,7911242.820390803
30644,9291638.13776455
30645,7244101.776728395
30646,5178344.405169479
30647,4968364.190828923
30648,28177956.18906525
30649,2766340.3321428574
30650,5214175.603881353
30651,3117524.568121692
30652,4598864.314506172
30653,5939726.077233979
30654,4955209.85361552
30655,8365617.041225749
30656,4035568.188313457
30657,6076630.685970313
30658,9245684.007363318
30659,4979131.830590407
30660,8510959.162684355
30661,6533300.667387962
30662,9347208.280709878
30663,24291608.243650798
30664,12557986.912257494
30665,5653430.133619364
30666,2750319.472839507
30667,4206497.431687243
30668,8723926.605555555
30669,5043830.361463846
30670,2617867.5128747798
30671,7827608.573723189
